"level_name_2","level_name_3","brand_name","company_name","company_intro","renqi","address","page_num"
"女装品牌","成熟女装","NEXY.CO奈蔻","深圳赢家服饰有限公司","NEXY.CO奈蔻女装品牌：NEXY.CO（奈蔻）是与法国POLUX SARL时装公司合作，专为富有智慧、知性的精英女性服务的服饰品牌。艺术总监是曾经担任Maxmara首席设计师的法国人LUTZ。 NEXY.CO...","3.8万","广东深圳",2
"内衣品牌","女性内衣","缔妒","佛山市川之尚服饰有限公司","缔妒内衣品牌：佛山市川之尚服饰有限公司成立于1999年，总部座落于内衣名镇—盐步，是一家集产品自主研发、生产、营销、服务为一体的大型现代化调整型内衣企业。拥有生产员工600多名...","890","广东佛山",2
"男装品牌","商务男装","卡尔丹顿","深圳市卡尔丹顿服饰股份有限公司","深圳市卡尔丹顿服饰股份有限公司成立于1993年（前身为深圳市兴亿实业有限公司），是一家有着丰富经验的知名服装品牌连锁运营企业，集品牌建设、研发设计、生产制造和零售管理于一体，...","11.4万","广东深圳",2
"女装品牌","少淑女装","阿依莲","广州市今誉服饰有限公司","阿依莲女装系广州市阿依莲服装有限公司出品，阿依莲服装有限公司创建于2000年，是一家以产品设计开发为主，集生产、销售、策划阿依莲女装、阿依莲服饰品牌运营于一体的现代化服装公司...","8.3万","广东广州",2
"女装品牌","成熟女装","MOISELLE慕诗","慕诗国际集团深圳代理公司","MOISELLE，一向以设计时尚、优质布料及精巧的剪裁而享誉时装界，其典雅及女性化的风格于每季的设计系列里均大放异彩。自97年于香港登场后，瞬间已经成为城中一众紧贴潮流及喜爱打扮的...","6万","广东深圳",2
"女装品牌","成熟女装","沐兰moreline","铭源沐兰贸易（深圳）有限公司","沐兰moreline高级女装品牌，注册于中国：香港。moreline沐兰女装精品原产国为意大利、芬兰、德国，同时与国际著名公司真诚合作近十余年。十余年间我们moreline沐兰女装品牌在中国已拥...","4.4万","广东",2
"女装品牌","轻奢女装","Dimple hsu","深圳市静甫服装设计有限公司","Dimple hsu女装品牌成立于2007年，主要从事阿里电商平台高端女装开发和销售。旗下自有品牌Dimple hsu（天猫旗舰店和三金冠淘宝店铺），以领先的经营模式汇集百万忠实粉丝，处于淘宝女...","14","广东深圳",2
"女装品牌","轻奢女装","IDPAN","深圳麦娇奴服饰有限公司","IDPAN女装品牌是由意大利著名贵族服装设计师Antonio Romano（安东尼奥.R）和Francesco Alagna（弗朗司科.A）创立于意大利米兰。两人相识在MaxMara，共同的服饰爱好促成了IDPAN品牌的...","3490","广东深圳",2
"女装品牌","淑女装","MEILLEUR MOMENT麦檬","上海意芙服装有限公司","MEILLEUR MOMENT麦檬女装品牌是极简和纯净的打破现有的时装理念注重剪裁及品质感“让每个人都能拥有这美好一刻”MM麦檬对待个性、精神、自由，有着至高无上的敬意和理解，设计上充斥...","1万","浙江杭州",2
"女装品牌","少淑女装","GLORIA歌莉娅","广州市格风服饰有限公司","歌莉娅是率先并持续将环球旅行与时尚相结合的中国女性服饰品牌。自1995年开始,歌莉娅总是带着对世界的好奇,向一个又一个未知出发。致力于 为爱旅行爱生活的现代女性塑造举止优雅、气...","6.5万","广东广州",2
