"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,184,"QAT","Qatar",1,"Ad Dawhah","QA.DA",NA,"","Baladiyah","Municipality","<U+0627><U+0644><U+062F><U+0648><U+062D><U+0629>","Doha"
2,184,"QAT","Qatar",2,"Al Daayen","QA.DY",NA,"","Baladiyah","Municipality","<U+0627><U+0644><U+0636><U+0639><U+0627><U+064A><U+0646><U+200E>",""
3,184,"QAT","Qatar",3,"Al Khor","QA.KR",NA,"","Baladiyah","Municipality","<U+0627><U+0644><U+062E><U+0648><U+0631><U+200E>","Al Khawr"
4,184,"QAT","Qatar",4,"Al Wakrah","QA.WA",NA,"","Baladiyah","Municipality","<U+0627><U+0644><U+0648><U+0643><U+0631><U+0629>","Al Wakra"
5,184,"QAT","Qatar",5,"Ar Rayyan","QA.RY",NA,"","Baladiyah","Municipality","<U+0627><U+0644><U+0631><U+064A><U+0627><U+0646><U+200E>",""
6,184,"QAT","Qatar",6,"Madinat ash Shamal","QA.MS",NA,"","Baladiyah","Municipality","<U+0627><U+0644><U+0634><U+0645><U+0627><U+0644><U+200E>",""
7,184,"QAT","Qatar",7,"Umm Salal","QA.SL",NA,"","Baladiyah","Municipality","<U+0623><U+0645> <U+0635><U+0644><U+0627><U+0644><U+200E>",""
