"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,19,"BHR","Bahrain",1,"Capital","BH.CA",NA,"","Muhafazah","Governorate","","Muhafazat al-'Asimah"
2,19,"BHR","Bahrain",2,"Central","BH.CE",NA,"","Muhafazah","Governorate","","al-Muhafazah al-Wustah"
3,19,"BHR","Bahrain",3,"Muharraq","BH.MU",NA,"","Muhafazah","Governorate","","Muhafazat al-Muharaq"
4,19,"BHR","Bahrain",4,"Northern","BH.NO",NA,"","Muhafazah","Governorate","","al-Muhafazah ash-Shamaliyah"
5,19,"BHR","Bahrain",5,"Southern","BH.SO",NA,"","Muhafazah","Governorate","","al-Muhafazah al-Janobiyah"
