"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,241,"ARE","United Arab Emirates",1,"Abu Dhabi","AE.AZ",NA,"","Emirate","Emirate","","Aboû Dabî|Abu Dabi|Abu <U+1E92>abi|Abu <U+1E92>aby"
2,241,"ARE","United Arab Emirates",2,"Ajman","AE.AJ",NA,"","Emirate","Emirate","","`Adjmân|Ajmã|`Ajman"
3,241,"ARE","United Arab Emirates",3,"Dubay","AE.DU",NA,"","Emirate","Emirate","","Dibay|Doubaï|Dubai, Dubayy"
4,241,"ARE","United Arab Emirates",4,"Fujayrah","AE.FU",NA,"","Emirate","Emirate","","Al Foudjaïrah, Fudjayra|Al Fujayrah, Fujaira, Fujairah, Fujeira"
5,241,"ARE","United Arab Emirates",5,"Neutral Zone","",NA,"","Emirate","Emirate","",""
6,241,"ARE","United Arab Emirates",6,"Ras Al Khaymah","AE.RK",NA,"","Emirate","Emirate","","Ras al Khaima|Râs al Khaïmah|Ra's al Khayma|Ra's al Khaymah"
7,241,"ARE","United Arab Emirates",7,"Sharjah","AE.SH",NA,"","Emirate","Emirate","","Ach Chârdjah|Chardja|Ash Shariqah|Ash Sharjah|Sharjah and Dependencies|Sharjah and Kalba"
8,241,"ARE","United Arab Emirates",8,"Umm Al Qaywayn","AE.UQ",NA,"","Emirate","Emirate","","Oumm al Qaïwaïn|Umm al Qi`iwayn|Qaiwan|Umm al Qaiwain|Umm al Qayqayn|Umm al Qaywayn|Umm el Quwain|Um al Qaiuan"
