"","sku_id1","","mod1"
"1","1438313","1","0.963636363636364"
"2","1444893","1","0.690909090909091"
"3","1549397","1","1.45454545454545"
"4","1561222","1","1.69090909090909"
"5","1613778","1","0.6"
"6","1637542","1","0.509090909090909"
"7","1646082","1","0.927272727272727"
"8","1748082","1","2.09090909090909"
"9","1751686","1","2.74545454545455"
"10","1762874","1","2.85454545454545"
"11","1768518","1","4.01818181818182"
"12","1811388","1","1.18181818181818"
"13","1813364","1","1.16363636363636"
"14","1898190","1","2.47272727272727"
"15","1902564","1","0.763636363636364"
"16","1847068","1","1.98181818181818"
"17","1914268","1","0.981818181818182"
"18","1934698","1","1.09090909090909"
"19","1941162","1","2.16363636363636"
"20","1944596","1","0.672727272727273"
"21","1959330","1","3.90909090909091"
"22","1975366","1","3.30909090909091"
"23","2104786","1","1.14545454545455"
"24","2104790","1","2.41818181818182"
"25","2132868","1","1.12727272727273"
"26","2176278","1","1.56363636363636"
"27","2380144","1","0.927272727272727"
"28","2405430","1","1.10909090909091"
"29","2481120","1","2.4"
"30","2484966","1","1.67272727272727"
"31","2418716","1","1.05454545454545"
"32","2467866","1","2.83636363636364"
"33","2500196","1","2.81818181818182"
"34","3048696","1","1.10909090909091"
"35","2917466","1","1.01818181818182"
"36","3054368","1","0.745454545454545"
"37","2753566","1","0.6"
"38","2638748","1","1.03636363636364"
"39","2801952","1","4.2"
"40","303740","1","2.90909090909091"
"41","1128631","1","3.09090909090909"
"42","1128955","1","2.27272727272727"
"43","864769","1","1.16363636363636"
"44","920259","1","2.01818181818182"
"45","1149005","1","1.23636363636364"
"46","1150411","1","0.909090909090909"
"47","1181929","1","3.29090909090909"
"48","1253341","1","1.34545454545455"
"49","2658100","1","1"
"50","2970872","1","1.09090909090909"
"51","2854428","1","1.12727272727273"
"52","3140102","1","3.05454545454545"
"53","3028584","1","2.54545454545455"
"54","3127930","1","2.56363636363636"
"55","3131146","1","1.07272727272727"
"56","3490596","1","1.03636363636364"
"57","3505220","1","1.38181818181818"
"58","3198212","1","0.981818181818182"
"59","3323976","1","1.05454545454545"
"60","3209784","1","1.89090909090909"
"61","3325464","1","1.92727272727273"
"62","3346036","1","1.10909090909091"
"63","3351170","1","1.03636363636364"
"64","3533336","1","2.47272727272727"
"65","3563646","1","1.2"
"66","3374402","1","1.18181818181818"
"67","3374406","1","1.74545454545455"
"68","3375786","1","2.4"
"69","3467126","1","0.945454545454545"
"70","3383996","1","0.945454545454545"
"71","3473702","1","1.05454545454545"
"72","3550550","1","1.49090909090909"
"73","3552748","1","1.43636363636364"
"74","3552750","1","1.23636363636364"
"75","3274498","1","1.30909090909091"
"76","3530640","1","1.74545454545455"
"77","3414066","1","1.6"
"78","3835718","1","1.70909090909091"
"79","3842030","1","1.49090909090909"
"80","3580074","1","1.72727272727273"
"81","3661932","1","1.16363636363636"
