date,sku_id,sale_num
2017/9/11,8778018,1
2017/9/13,8778018,3
2017/9/15,8778018,3
2017/9/17,8778018,1
2017/9/18,8778018,1
2017/9/19,8778018,4
2017/9/20,8778018,4
2017/9/21,8778018,3
2017/9/22,8778018,6
2017/9/23,8778018,3
2017/9/24,8778018,2
2017/9/25,8778018,1
2017/9/26,8778018,2
2017/9/27,8778018,4
2017/9/29,8778018,1
2017/9/30,8778018,3
2017/10/1,8778018,1
2017/10/2,8778018,2
2017/10/3,8778018,1
2017/10/4,8778018,3
2017/10/5,8778018,5
2017/10/6,8778018,4
2017/10/7,8778018,1
2017/10/8,8778018,1
2017/10/9,8778018,3
2017/10/10,8778018,4
2017/10/12,8778018,5
2017/10/13,8778018,1
2017/10/14,8778018,4
2017/10/15,8778018,3
2017/10/16,8778018,3
2017/10/18,8778018,1
2017/10/21,8778018,4
2017/10/22,8778018,1
2017/10/23,8778018,3
2017/10/25,8778018,1
2017/10/26,8778018,1
2017/10/27,8778018,2
