company_name,province,location,size,nature,business,page_num
潜山金诚永泰服装有限公司,安徽,安徽安庆,50 - 99人,私营．民营企业,"女装,毛衫针织",7
绍兴市新艾迪服饰有限公司,浙江,浙江绍兴,1 - 49人,外商独资．外企办事处,"男装, 女装, 童装",7
南京蕾丝莉服饰有限公司,江苏,江苏南京,1 - 49人,私营．民营企业,面辅料,7
湖南潭州教育网络科技有限公司,湖南,湖南长沙,1000人以上,私营．民营企业,"女装,其他",7
上海肆烈体育发展有限公司,上海,上海,1 - 49人,外商独资．外企办事处,"运动休闲,男装,女装",7
江苏中晓服饰有限公司,江苏,江苏徐州,,,"男装, 职业装, 丝绸",7
深圳至美服饰有限公司,广东,广东深圳,50 - 99人,私营．民营企业,女装,8
平凉巨星集团,北京,北京,100 - 499人,私营．民营企业,"男装, 女装",8
常熟金铜牛服饰有限公司,江苏,江苏常熟,1 - 49人,私营．民营企业,女装,8
云南大润丁服饰有限公司,云南,云南昆明,1 - 49人,私营．民营企业,"男装,女装,正装,婚纱礼服,丝绸",8
山东真又美制衣有限公司,山东,山东潍坊,500 - 999人,外商独资．外企办事处,"男装,童装,女装,运动休闲,羽绒服",8
无锡天绣纺织制品有限公司,江苏,江苏无锡,100 - 499人,外商独资．外企办事处,家纺,8
上海益山服饰有限公司,上海,上海,50 - 99人,私营．民营企业,"女装, 羽绒服",8
江西斯沃德教育文化发展有限公司,江西,江西南昌,500 - 999人,私营．民营企业,"童装, 正装, 其他",8
黑河梓杉经贸有限公司,黑龙江,黑龙江佳木斯,50 - 99人,私营．民营企业,"女装, 皮革, 饰品, 婚纱礼服, 箱包",8
江苏盛世唐王贸易有限公司,江苏,江苏苏州,500 - 999人,私营．民营企业,男装,8
山东大统服饰有限责任公司,山东,山东济宁,100 - 499人,私营．民营企业,"男装, 女装, 牛仔, 职业装, 其他",9
杭州圣势时装有限公司,浙江,浙江杭州,1 - 49人,外商独资．外企办事处,婚纱礼服,9
广州杰夫森服装有限公司,广东,广东广州,1000人以上,私营．民营企业,"男装,女装,童装",9
广州市越秀区爱可伊瑶服饰商行,广东,广东广州,1 - 49人,私营．民营企业,女装,9
雪谷集团有限公司,浙江,浙江温州,1 - 49人,外商独资．外企办事处,"男装,正装,职业装",9
綄纱（杭州）服饰有限公司,浙江,浙江杭州,50 - 99人,私营．民营企业,女装,9
苏州茗瀚服饰有限公司,江苏,江苏常熟,100 - 499人,私营．民营企业,"男装,鞋业,正装,女装,运动休闲",9
北京京鸿服饰有限公司,北京,北京,50 - 99人,中美合资,"男装, 女装",9
菲拉格慕服饰研发（嘉兴）有限公司,浙江,浙江嘉兴,1 - 49人,外商独资．外企办事处,女装,9
北京美罗绮服装有限公司,北京,北京,1 - 49人,外商独资．外企办事处,"女装,羽绒服",9
上海熙凡国际贸易有限公司,上海,上海,1 - 49人,私营．民营企业,"男装,女装,皮革,运动休闲,羽绒服",10
华坚集团,广东,广东东莞,1000人以上,外商独资．外企办事处,"男装,女装,鞋业,运动休闲,箱包",10
吴江市新丽实业有限公司,江苏,江苏苏州,,,其他,10
安徽鼎正服饰有限公司,安徽,安徽六安,100 - 499人,私营．民营企业,"女装, 运动休闲, 面辅料, 丝绸, 羽绒服",10
中蔼万家服装股份有限公司,河南,河南郑州,1000人以上,私营．民营企业,"运动休闲, 牛仔, 毛衫针织, 面辅料, 羽绒服",10
海宁韩色服饰有限公司,浙江,浙江嘉兴,100 - 499人,私营．民营企业,"女装,皮革",10
义乌市宁姿服饰有限公司,浙江,浙江义乌,50 - 99人,外商独资．外企办事处,"女装, 童装",10
江苏麦睿时装有限公司,江苏,江苏苏州,1 - 49人,外商独资．外企办事处,"男装,女装,童装",10
Bridgetex Ltd. 北京乔达仕,北京,北京朝阳,50 - 99人,外商独资．外企办事处,"男装, 正装",10
深圳市普拉姆服饰有限公司,广东,广东深圳,1 - 49人,外商独资．外企办事处,"女装, 其他",10
杭州谦与文化创意有限公司,浙江,浙江杭州,100 - 499人,私营．民营企业,"女装,男装,童装",11
