"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,121,"KWT","Kuwait",1,"Al Ahmadi","KW.AH",NA,"","Muhafazah","Province","<U+0627><U+0644><U+0627><U+062D><U+0645><U+062F><U+064A>",""
2,121,"KWT","Kuwait",2,"Al Farwaniyah","KW.FA",NA,"","Muhafazah","Province","<U+0627><U+0644><U+0641><U+0631><U+0648><U+0627><U+0646><U+064A><U+0629><U+200E>","Farwaniya"
3,121,"KWT","Kuwait",3,"Al Jahrah","KW.JA",NA,"","Muhafazah","Province","<U+0627><U+0644><U+062C><U+0647><U+0631><U+0627><U+0621>","Jahra"
4,121,"KWT","Kuwait",4,"Al Kuwayt","KW.KU",NA,"","Muhafazah","Province","<U+0627><U+0644><U+0639><U+0627><U+0635><U+0645><U+0647>","Al Asimah, Capital, Kuwait"
5,121,"KWT","Kuwait",5,"Hawalli","KW.HW",NA,"","Muhafazah","Province","<U+062D><U+0648><U+0644><U+064A>","Hawali, Howali"
6,121,"KWT","Kuwait",6,"Mubarak Al-Kabeer","KW.MU",NA,"","Muhafazah","Province","<U+0645><U+0628><U+0627><U+0631><U+0643> <U+0627><U+0644><U+0643><U+0628><U+064A><U+0631>",""
